BGC,SIClass,Area,Var
ESSFmm3,4,23711,AllForest
ESSFmm3,5,4167,AllForest
ESSFmm3,6,488,AllForest
ESSFmm3,7,33,AllForest
ESSFmmp,3,329,AllForest
ESSFmmp,4,30,AllForest
ESSFmmp,5,3,AllForest
ESSFmmw,3,14591,AllForest
ESSFmmw,4,2941,AllForest
ESSFmmw,5,135,AllForest
ESSFmmw,6,12,AllForest
ESSFmv1,3,87470,AllForest
ESSFmv1,4,21502,AllForest
ESSFmv1,5,3268,AllForest
ESSFmv1,6,75,AllForest
ESSFmv2,3,242346,AllForest
ESSFmv2,4,26197,AllForest
ESSFmv2,5,1188,AllForest
ESSFmv2,6,57,AllForest
ESSFmv2,7,16,AllForest
ESSFmv3,3,404390,AllForest
ESSFmv3,4,101944,AllForest
ESSFmv3,5,9238,AllForest
ESSFmv3,6,822,AllForest
ESSFmv3,7,163,AllForest
ESSFmv4,3,192632,AllForest
ESSFmv4,4,39671,AllForest
ESSFmv4,5,3122,AllForest
ESSFmv4,6,333,AllForest
ESSFmv4,7,44,AllForest
ESSFmvp,3,283,AllForest
ESSFmvp,4,41,AllForest
ESSFmw,3,5863,AllForest
ESSFmw,4,2067,AllForest
ESSFmw,5,63,AllForest
ESSFmw1,3,67964,AllForest
ESSFmw1,4,21027,AllForest
ESSFmw1,5,2523,AllForest
ESSFmw1,6,20,AllForest
ESSFmw1,7,17,AllForest
ESSFmw2,3,26366,AllForest
ESSFmw2,4,6458,AllForest
ESSFmw2,5,1044,AllForest
ESSFmw2,6,48,AllForest
ESSFmwp,3,172,AllForest
ESSFmwp,4,1,AllForest
ESSFmww,3,8311,AllForest
ESSFmww,4,456,AllForest
ESSFmww,5,20,AllForest
ESSFun,3,43406,AllForest
ESSFun,4,5228,AllForest
ESSFun,5,195,AllForest
ESSFun,6,111,AllForest
ESSFun,7,20,AllForest
ESSFunp,3,50,AllForest
ESSFvc,3,67024,AllForest
ESSFvc,4,17570,AllForest
ESSFvc,5,2824,AllForest
ESSFvc,6,277,AllForest
ESSFvc,7,6,AllForest
ESSFvcp,3,106,AllForest
ESSFvcp,4,18,AllForest
ESSFvcw,3,14970,AllForest
ESSFvcw,4,2304,AllForest
ESSFvcw,5,96,AllForest
ESSFvcw,6,8,AllForest
ESSFvcw,7,5,AllForest
ESSFwc2,3,222020,AllForest
ESSFwc2,4,86920,AllForest
ESSFwc2,5,19423,AllForest
ESSFwc2,6,2057,AllForest
ESSFwc2,7,151,AllForest
ESSFwc3,3,104959,AllForest
ESSFwc3,4,15699,AllForest
ESSFwc3,5,2873,AllForest
ESSFwc3,6,92,AllForest
ESSFwc3,7,4,AllForest
ESSFwc4,3,118202,AllForest
ESSFwc4,4,30190,AllForest
ESSFwc4,5,2578,AllForest
ESSFwc4,6,87,AllForest
ESSFwc4,7,9,AllForest
ESSFwcp,3,835,AllForest
ESSFwcp,4,47,AllForest
ESSFwcp,5,7,AllForest
ESSFwcw,3,65087,AllForest
ESSFwcw,4,8417,AllForest
ESSFwcw,5,1968,AllForest
ESSFwcw,6,15,AllForest
ESSFwcw,7,4,AllForest
ESSFwh1,3,91110,AllForest
ESSFwh1,4,49645,AllForest
ESSFwh1,5,8489,AllForest
ESSFwh1,6,776,AllForest
ESSFwh1,7,45,AllForest
ESSFwh2,3,19138,AllForest
ESSFwh2,4,13089,AllForest
ESSFwh2,5,1174,AllForest
ESSFwh2,6,154,AllForest
ESSFwh2,7,3,AllForest
ESSFwh3,3,30701,AllForest
ESSFwh3,4,21752,AllForest
ESSFwh3,5,3124,AllForest
ESSFwh3,6,80,AllForest
ESSFwh3,7,23,AllForest
ESSFwk1,3,208858,AllForest
ESSFwk1,4,101510,AllForest
ESSFwk1,5,26626,AllForest
ESSFwk1,6,1902,AllForest
ESSFwk1,7,502,AllForest
ESSFwk2,3,128159,AllForest
ESSFwk2,4,23996,AllForest
ESSFwk2,5,4383,AllForest
ESSFwk2,6,740,AllForest
ESSFwk2,7,77,AllForest
ESSFwm1,3,16418,AllForest
ESSFwm1,4,7313,AllForest
ESSFwm1,5,705,AllForest
ESSFwm1,6,60,AllForest
ESSFwm2,3,29054,AllForest
ESSFwm2,4,8107,AllForest
ESSFwm2,5,698,AllForest
ESSFwm2,6,3,AllForest
ESSFwm3,3,25347,AllForest
ESSFwm3,4,4563,AllForest
ESSFwm3,5,85,AllForest
ESSFwm3,7,1,AllForest
ESSFwm4,3,69010,AllForest
ESSFwm4,4,42155,AllForest
ESSFwm4,5,5816,AllForest
ESSFwm4,6,176,AllForest
ESSFwm4,7,74,AllForest
ESSFwmp,3,75,AllForest
ESSFwmw,3,19046,AllForest
ESSFwmw,4,1620,AllForest
ESSFwmw,5,215,AllForest
ESSFwv,3,107170,AllForest
ESSFwv,4,10951,AllForest
ESSFwv,5,1974,AllForest
ESSFwv,6,226,AllForest
ESSFwv,7,19,AllForest
ESSFwvp,3,41,AllForest
ESSFwvp,4,1,AllForest
ESSFxc1,3,49032,AllForest
ESSFxc1,4,11888,AllForest
ESSFxc1,5,120,AllForest
ESSFxc2,3,35031,AllForest
ESSFxc2,4,8909,AllForest
ESSFxc2,5,730,AllForest
ESSFxc2,6,10,AllForest
ESSFxc3,3,19985,AllForest
ESSFxc3,4,4801,AllForest
ESSFxc3,5,122,AllForest
ESSFxcp,3,94,AllForest
ESSFxcp,4,1,AllForest
ESSFxcw,3,5599,AllForest
ESSFxcw,4,250,AllForest
ESSFxcw,5,28,AllForest
ESSFxv1,3,40147,AllForest
ESSFxv1,4,5518,AllForest
ESSFxv1,5,1290,AllForest
ESSFxv1,6,4,AllForest
ESSFxv2,3,18327,AllForest
ESSFxv2,4,1457,AllForest
ESSFxvp,3,50,AllForest
