PolyID,Volume
514,59.7142857142857
509,35
510,49
511,31
519,57
520,57
513,20
515,43
516,32
517,40
518,32
529,42.7272727272727
522,39
526,39
525,57
532,44
572,38.2033898305085
527,49
528,42.4545454545455
530,37
531,36
564,39.1944444444444
533,45
534,56
536,44
535,39
538,53
539,36
540,45
541,52
543,42
542,44
549,48.2
654,43.3047210300429
544,33
545,54
546,51
550,54
558,50.2857142857143
547,33
555,45
551,41
552,43
553,42
554,33
556,30
557,43
559,59
562,54.3333333333333
560,36
561,33
563,57
565,33
566,36
567,59
574,42.2272727272727
568,39
569,57
570,36
571,34
573,39
575,25.8
576,37
577,39
578,14
579,37
595,64
580,43
581,37
584,40
582,45.1428571428572
593,28.6461538461539
583,37
585,26
586,15
587,45
592,34
588,45
589,26
590,14
591,55
594,42
598,22
596,33
600,34.5
597,43
599,34
601,43
602,63
603,50
620,53.5747126436782
604,0
605,47
606,51
608,51
607,12
619,50.56
609,0
610,45
611,0
612,0
615,44.8
613,54
614,0
628,38.90625
616,75
617,51.6666666666667
618,71
629,38.15625
621,35
622,43
623,31
624,25
641,31
625,55
657,33.8510638297872
626,43
627,62
630,43
631,32
632,53.5
633,0
634,38
635,38
636,31
637,47
638,32
639,0
652,37.8571428571429
640,38
642,31
643,69
644,348
661,37.75
645,40
646,47
647,69
648,0
649,69
650,49
662,39.7826086956522
651,0
653,34
660,37
685,98.5056179775281
667,73
655,348
656,49
658,39
664,47.6
659,44
663,348
669,49
665,44
666,50
680,31
668,49
676,13.6666666666667
674,33
670,37
671,37
697,50.6537530266344
672,64
673,38.6
675,53
689,43.64
686,45.2068965517241
677,50
678,21
679,21
681,11
683,80
682,21
687,28.2727272727273
684,45
688,50
690,55
691,182
692,37
693,50
694,41
695,41
696,43
700,58.0434782608696
698,52
699,55
701,15
702,202
703,202
704,202
705,202
706,202
707,202
708,202
709,32
710,202
711,202
712,202
713,57
714,57
717,36.1607142857143
715,64
716,58.1333333333333
718,34.8333333333333
722,32
719,28
724,52
720,44
721,44
723,44
725,32
726,32
727,105
732,41.7222222222222
728,105
729,105
730,42
731,105
735,101
733,81
734,54
736,81
738,73
737,83
748,43.8275862068966
739,82
740,50
741,59
742,102
746,102
743,59
744,42
747,53
745,77
749,44
750,52.28125
753,78
751,40
752,40
754,40
755,40
758,87
756,87
757,87
759,83
760,71
763,88.75
761,71
762,71
764,78
765,63
766,40
767,71
768,78
769,63
770,40
771,80
772,80
773,77
774,80
775,77
776,73.2222222222222
777,81
778,130
781,72
787,81.5555555555556
779,71
780,71
782,76.2
783,72
784,106
785,82
786,106
788,72
789,106
790,106
791,72
795,52
794,71
797,70.425
792,84
793,84
796,52
798,156
799,70
800,67
803,78.7941176470588
801,78
804,72
802,67
805,70
806,74.9333333333333
807,75
808,74
809,74
810,74
811,74
812,74
816,30.2222222222222
817,59
813,92
814,92
815,55
818,93.5
819,89.6578947368421
820,82
821,82
822,82
823,82
824,82
825,46
826,73.4
828,85.125
827,86
831,75.9090909090909
829,143
830,84
832,69
833,92.2142857142857
834,72.9642857142857
835,74
836,82
837,71
838,82
839,79
840,55
841,55
842,55
844,26
843,78
849,38
847,45
845,109
846,82
850,38
848,82
859,34.8333333333333
851,26
855,38
852,49
853,49
856,39.2857142857143
857,72.1538461538462
854,45
874,50.8095238095238
858,16
860,16
861,38
862,38
866,115.857142857143
863,38
864,16
865,38
867,158
869,114.5
868,41.8
870,40
883,95.1
871,40
872,73
886,42.4948453608247
873,28
904,50.9431818181818
877,29
875,33
876,33
885,35
878,107
879,37
880,35
881,71
882,35
884,37
887,76
888,35
889,39.5
890,35
897,33.4545454545455
893,115
898,48.71875
894,38.6842105263158
891,80
905,71
892,37
895,45.5
896,37
899,78
900,54
901,90
902,54
903,90
906,54
907,34
916,34
911,34
917,38.2857142857143
909,90
908,54
910,54
912,49.1428571428572
913,54
914,109.25
915,34
918,52
919,34
920,143
921,44
922,143
923,51.4444444444445
928,59.5
924,60.3333333333333
925,58
926,60
927,33
931,47
929,60
930,71
932,33
933,33
934,71
935,33
936,47
938,79.3333333333333
