PolyID,Height
203,33
205,29
206,29
210,35
207,35
208,28
212,36
214,25
400,25
353,20.72921108742
215,28
223,28
217,34.3333333333333
218,28
219,26
573,20.8902589395808
220,31
221,33
222,35
272,32.8055555555556
450,31.7768240343348
225,29.6470588235294
226,30
227,29
228,25
229,16
243,33
230,32
231,29
262,32.8421052631579
232,29
233,37
1103,28.9807520143241
242,33
234,32
270,29
235,34
236,36
264,28.6315789473684
237,29
238,34
239,33.75
240,25
241,34.25
263,28
283,30.7358490566038
245,32
246,29
398,26.9130434782609
247,18
248,31
249,35
250,29
251,29
252,29
253,29
390,26.9378881987578
266,31
265,29
254,37
268,26
367,30.1129032258065
255,33
275,26
256,29
315,32.5428571428571
257,37
267,36
258,33
269,30
277,34.1428571428571
273,28
296,35
372,25.6989247311828
276,22
278,27.5
279,27.4583333333333
280,32
281,32
282,36
284,33
285,30
286,29
287,22
288,40
289,25
290,33
291,33
327,28
292,29
293,22
300,22
294,34
295,29
336,35
297,36
304,33
298,33
311,32
341,30.8571428571429
299,22
301,34
302,36
303,29
305,33
306,24
325,28.5882352941177
307,34
418,29.5454545454546
308,3
309,36
310,33
312,25
313,24
314,17
316,31
317,29
318,36
339,29.4516129032258
319,33
326,22
320,24
331,18
321,22
322,35
323,31
329,22
330,20
332,30
333,34
334,27.6
335,28
337,36
338,26
340,33
409,26.816
385,22
342,22
343,34
344,26
345,37
359,27
346,33
347,31
446,27
348,24
408,27.0649350649351
349,22
350,18
351,22
352,22
354,30
355,26
356,28
357,27
358,34
360,32
379,31.4285714285714
370,31.3333333333333
361,27
382,22
362,18
363,22
364,22
365,22
502,30.7169117647059
447,35.2553191489362
712,28.9718875502008
368,33
369,32
371,27
373,28
374,22
375,22
376,22
462,28.1413043478261
377,29
378,27
380,27
381,18
383,22
384,22
386,22
422,30.1803278688525
387,30
388,29
389,29
517,27.9820627802691
391,37
401,33
395,18
854,27.7896522476675
392,32
393,2
410,28
394,25
416,30.5625
396,32
443,28.64
402,31
403,29
404,31
405,31
425,28
644,26.4340909090909
407,32
449,28
448,30.1481481481482
411,32
419,31
430,30.1666666666667
412,32
413,32
472,30.875
421,24
414,26
415,22
423,31.875
463,24.9733333333333
417,32
471,28.7017543859649
618,29.8447368421053
420,31.8571428571429
437,26
429,23.2
519,33.6589861751152
424,2
426,31.5
427,18
428,17
876,27.4356060606061
505,28.4262295081967
431,28
432,18
440,22
457,31
433,31
655,32.604347826087
434,2
460,30.7916666666667
435,28
436,27
438,24
455,26
439,28
441,31
442,31
451,34
452,28
444,27
445,27
461,30.1666666666667
453,26
454,24.8
514,25
456,22
464,34
458,32.4545454545455
459,27
475,22
468,34
530,32.4722222222222
465,34
466,34
480,31.64
467,18
469,31
470,31
506,25
473,25
564,27.6
474,24
561,29.4939759036145
476,31
477,30
478,27
560,29.9069767441861
479,32
662,30.2769230769231
481,26
507,27
482,17
483,24
484,19
512,32.2708333333333
742,34.592867756315
485,31
513,34.36
486,30
490,32
487,30
593,33.6623376623377
488,34
489,30
508,26
491,26
534,24
509,26
492,22
493,20
494,17
495,33
496,36
510,32
497,34
511,34
498,27
499,27
874,29.8549222797928
711,28.6168831168831
500,21
501,33
503,34
538,30
504,31
640,25.6
515,22
516,21
518,38
567,34
715,33.9910071942446
520,38
521,38
527,34
522,34
524,26
559,25
523,31
579,35.6382978723404
581,31.6363636363636
531,31
532,27.1818181818182
525,26
526,34
528,34
529,34
533,26
562,26
544,22
535,28
536,34
537,34
539,11
540,24
541,22
542,22
543,22
545,35
546,30
547,34
548,38
549,11
568,32
550,26
551,26
565,22
563,24
575,32
591,31.0540540540541
552,35
595,34.625
553,31
554,24
572,29
555,22
556,22
566,22
643,22
557,34
558,34
569,26
598,26
570,26
571,26
574,22
576,26
577,33
578,34
580,35
582,26
583,30
584,29
585,22
590,22
614,22
586,32
587,28.6666666666667
638,32.8235294117647
607,30.8
588,17
646,22
589,22
641,21.9285714285714
592,26
594,32
1065,34.4300091491308
596,31
597,32
599,17
600,22
601,22
602,22
603,22
604,22
605,28
606,25
617,33
608,26
657,26
609,17
610,17
611,17
612,22
613,22
615,22
616,22
675,22
639,24.1333333333333
656,34
619,26
620,22
621,22
622,22
623,22
624,22
678,31.5263157894737
642,30
625,30
626,25
691,26.5714285714286
627,22
674,22
628,22
703,30.8260869565217
629,29
630,25
631,31
663,26.9183673469388
784,28.0696202531646
632,22
633,22
634,22
651,22
635,22
679,35
661,32.1176470588235
636,30
637,25
645,17
647,22
648,22
649,22
650,22
652,31
653,38
654,38
719,32.41875
664,26
658,22
659,28.5384615384615
660,35
781,36.4444444444444
