PolyID,TreeVolume
268,1
367,11.1693548387097
255,26
275,4.28571428571429
256,3
315,15.6428571428571
257,20
267,14
258,23
269,21.3333333333333
277,19.2857142857143
273,3
296,10.5833333333333
372,1.86021505376344
276,1
278,17.25
279,7.08333333333333
280,6
281,5
282,16
284,33
285,25.3333333333333
286,2
287,2
288,9
289,9
290,30
291,19
327,5.55555555555556
292,1
293,2
300,2
294,14
295,19
336,13.7
297,16
304,23
298,29
311,16.7
341,19
299,1
301,13
302,12
303,6
305,29
306,22
325,1.52941176470588
307,14
418,16.6060606060606
308,6
309,14
310,27
312,2
313,2
314,4
316,15
317,5
318,16
339,17.1935483870968
319,26
326,20.6
320,2
331,1
321,2
322,9
323,14
329,31
330,5
332,1
333,11
334,17.4
335,9
337,27
338,1
340,24
409,3.76
385,2
342,2
343,11
344,13
345,19
359,1
346,23
347,14
446,3.18823529411765
348,3
408,3.62987012987013
349,2
350,1
351,2
352,2
354,1
355,3
356,13.6666666666667
357,25
358,9
360,12
379,12.5
370,4.55555555555556
361,3
382,1
362,1
363,2
364,2
365,2
502,21.4191176470588
447,53.7446808510638
712,6.18273092369478
368,18
369,6
371,3
373,2.33333333333333
374,2
375,2
376,2
462,9.32608695652174
377,2
378,16.2
380,3
381,1
383,2
384,2
386,2
422,15.3114754098361
387,2.5
388,3
389,3
517,11.8340807174888
391,15.5
401,4
395,1
854,7.64715860899067
392,8
393,37
410,2.9
394,1
416,15.71875
396,10
443,3.88
402,34
403,20
404,3
405,3
425,5.58333333333333
644,15.55
407,12.5
449,0.0795454545454545
448,15.0185185185185
411,9
419,7.6
430,7.5
412,8
413,18.6666666666667
472,14.625
421,4.5
414,3
415,2
423,13.4375
463,18.9066666666667
417,11
471,11.0877192982456
618,26.7184210526316
420,19.5714285714286
437,3.92857142857143
429,7
519,15.6589861751152
424,34
426,22.25
427,1
428,13
876,7.72253787878788
505,2.95081967213115
431,3
432,1
440,2
457,15.4
433,24
655,11.3869565217391
434,19.3333333333333
460,17.6805555555556
435,6
436,8.66666666666667
438,7
455,2
439,2
441,22
442,24
451,17.25
452,8
444,6
445,8
461,12.2222222222222
453,4
454,7.2
514,1.64615384615385
456,2
464,12.1666666666667
458,13.9090909090909
459,4
475,2
468,16
530,13.8333333333333
465,15
466,14
480,10.12
467,2
469,7
470,5
506,5.38235294117647
473,8
564,5.85
474,2
561,25.3373493975904
476,10
477,2
478,4.5
560,15.8372093023256
479,23.2
662,15.2461538461538
481,2
507,1.125
482,0
483,5
484,5
512,9.8125
742,34.3670133729569
485,12
513,11.16
486,2
490,22
487,18.5
593,12.4155844155844
488,21
489,5
508,1
491,3
534,4.07142857142857
509,2
492,1
493,4
494,4
495,14
496,16
510,21.5
497,19
511,19.25
498,6
499,3
874,31.7176165803109
711,6.1948051948052
500,5.5
501,9
503,10
538,8.21052631578947
504,21.5
640,2
515,2
516,4.8
518,23.25
567,14.8064516129032
715,20.6151079136691
520,19
521,27
527,19
522,23
524,4
559,3.05714285714286
523,18
579,42.1702127659574
581,18.1818181818182
531,1.94285714285714
532,2.09090909090909
525,3
526,25
528,9.5
529,13.25
533,4
562,3.72727272727273
544,1
535,7
536,22
537,29
539,14
540,2.25
541,2
542,2
543,2
545,15.5
546,12
547,15
548,17.3333333333333
549,15
568,25.2727272727273
550,4
551,3
565,2
563,4
575,16
591,10.8378378378378
552,12
595,57.5
553,21.25
554,8
572,1.35294117647059
555,2
556,2
566,1
643,0.985714285714286
557,14
558,24
569,4
598,3.9375
570,3
571,3
574,2
576,5
577,12.6666666666667
578,13
580,17.5
582,4
583,3
584,5
585,2
590,2
614,2
586,19
587,9.66666666666667
638,11.1176470588235
607,21.4
588,0
646,1
589,2
641,0.904761904761905
592,6
594,23
1065,32.9899359560842
596,24.6666666666667
597,12
599,0
600,2
601,2
602,2
603,2
604,2
605,8
606,4
617,23.5
608,4
657,3.66666666666667
609,0
610,0
611,0
612,2
613,2
615,2
616,2
675,0.980392156862745
639,5.11111111111111
656,55.7272727272727
619,4
620,0
621,0
622,2
623,2
624,2
678,11
642,7.6
625,25
626,7
691,1.76190476190476
627,0
674,2
628,2
703,7.69565217391304
629,5
630,14.5
631,21
