PolyID,Volumne
257,85
267,76
258,96
269,75
277,101.714285714286
273,43
296,69.1666666666667
372,33.3440860215054
276,15
278,58.5
279,44.4583333333333
280,69
281,69
282,76
284,102
285,75
286,38
287,15
288,91
289,60
290,102
291,102
327,34.6111111111111
292,38
293,15
300,15.3333333333333
294,69
295,49
336,77
297,76
304,102
298,102
311,72.9
341,73.4285714285714
299,17
301,69
302,83
303,55
305,102
306,53.5
325,36.6470588235294
307,69
418,64.5757575757576
308,0
309,76
310,102
312,36
313,36
314,7
316,61
317,55
318,76
339,60.8064516129032
319,96
326,15
320,36
331,13
321,17
322,76
323,61
329,15
330,14
332,35
333,77
334,47.4
335,46
337,76
338,29
340,96
409,43.36
385,15.1818181818182
342,17
343,77
344,40
345,86
359,30.5
346,96
347,94
446,27
348,30
408,41.3571428571429
349,15
350,13
351,15
352,17
354,35
355,39
356,52
357,39
358,77
360,66
379,90.1428571428571
370,52.4444444444444
361,44
382,15
362,15
363,15
364,17
365,17
502,69.9448529411765
447,161.531914893617
712,42.9819277108434
368,96
369,80
371,44
373,39
374,15
375,15
376,17
462,48.0434782608696
377,39
378,39
380,44
381,13.6666666666667
383,15
384,15
386,15
422,62.672131147541
387,35
388,39
389,39
517,56.7040358744395
391,85
401,54.4285714285714
395,14
854,47.1747243426633
392,68
393,0
410,39
394,32
416,59.5625
396,68
443,42.16
402,113
403,64
404,50
405,50
425,58
644,56.0204545454546
407,122
449,26
448,61.2222222222222
411,83
419,50
430,46.8333333333333
412,66
413,84.6666666666667
472,77.5
421,28.5
414,26
415,15
423,63.75
463,56.6
417,71
471,61.8070175438597
618,75.8684210526316
420,83.4285714285714
437,26
429,29.2
519,67.1290322580645
424,0
426,78.5
427,15
428,8
876,44.7045454545455
505,42.5409836065574
431,39
432,15
440,15
457,66
433,98
655,65.8739130434783
434,0
460,68.0555555555556
435,58
436,54
438,29
455,36
439,39
441,98
442,98
451,75
452,58
444,35
445,54
461,75.8611111111111
453,26
454,21.8
514,32
456,15
464,70
458,62.1818181818182
459,35
475,15
468,89
530,73.8888888888889
465,75
466,75
480,75.24
467,15
469,54
470,54
506,47.9411764705882
473,20
564,53.7
474,23
561,74.0963855421687
476,54
477,44
478,30
560,73.093023255814
479,87
662,73.1846153846154
481,28
507,35
482,7
483,21
484,21
512,59.7708333333333
742,86.5319465081724
485,54
513,74.12
486,44
490,85
487,83
593,69.4285714285714
488,89
489,80
508,18
491,26
534,32
509,28
492,14
493,20
494,7
495,73
496,79
510,95.3333333333333
497,70
511,89
498,30
499,30
874,82.3419689119171
711,49.0746753246753
500,15
501,73
503,68
538,66
504,79
640,32.56
515,15
516,15
518,100
567,68
715,73.0161870503597
520,100
521,100
527,70
522,68
524,26
559,38
523,108
579,103.553191489362
581,85.8409090909091
531,42
532,39.3636363636364
525,26
526,70
528,68
529,68
533,26
562,26
544,14
535,34
536,70
537,68
539,2
540,32
541,15
542,15
543,15
545,156
546,58
547,66
548,100
549,2
568,87
550,26
551,26
565,15
563,32.5
