PolyID,MeanSite
408,19.8766233766234
349,10
350,21
351,10
352,10
354,16
355,23
356,28
357,36
358,42
360,48
379,44.2142857142857
370,17
361,30.75
382,18.7272727272727
362,22
363,10
364,10
365,10
502,46.4558823529412
447,70.4893617021277
712,22.8674698795181
368,59.5
369,43
371,35
373,18
374,10
375,10
376,10
462,25.6630434782609
377,21
378,34.8
380,30
381,18
383,10
384,10
386,10
422,54.4754098360656
387,22
388,22
389,22
517,30.7892376681614
391,52
401,11.2857142857143
395,20.3333333333333
854,28.1467345207803
392,46.5
393,66
410,14.95
394,32
416,53.578125
396,54
443,19.04
402,39
403,49
404,19
405,20
425,43.6666666666667
644,29.4181818181818
407,33
449,18.6477272727273
448,53.6666666666667
411,30
419,21.8
430,22.4166666666667
412,36
413,34.3333333333333
472,40
421,27.6666666666667
414,13
415,10
423,45.875
463,28.52
417,54
471,34.6140350877193
618,29.9
420,44
437,13.9285714285714
429,20
519,28.1152073732719
424,65
426,35.25
427,18
428,45
876,27.2651515151515
505,18.9508196721311
431,13
432,19
440,10
457,54.55
433,37.3333333333333
655,32.8565217391304
434,59.3333333333333
460,48.6388888888889
435,42
436,15
438,29
455,28.0555555555556
439,12
441,39
442,37
451,42.5
452,50
444,42
445,15
461,19.2777777777778
453,14
454,29.4
514,32.6461538461538
456,10
464,31
458,27.0909090909091
459,39
475,10
468,29.9090909090909
530,46.1944444444444
465,45
466,41
480,34.24
467,23.3333333333333
469,34
470,36
506,27.5882352941177
473,28
564,28.325
474,29
561,45.6506024096386
476,34
477,22
478,42.5
560,43.3023255813954
479,29.2
662,22.9384615384615
481,34.5
507,16
482,3
483,25
484,24
512,25.5625
742,34.3640416047548
485,34
513,42.88
486,27
490,29.5
487,43
593,25.948051948052
488,30
489,39
508,24.3333333333333
491,14
534,31.6428571428571
509,27.5
492,10
493,21
494,21
495,51
496,32
510,32.8333333333333
497,32
511,29
498,39
499,41.5
874,39.4663212435233
711,19.4805194805195
500,23
501,36.5
503,41
538,40.421052631579
504,28.5
640,17.84
515,10
516,21.8
518,35.5
567,36.3870967741936
715,29.7625899280576
